task_id,model,seed,target_coverage,empirical_coverage,avg_set_size,n_classes,n_test
146800,xgboost,2,0.9,1.0,4.898148148148148,8,216
146800,xgboost,3,0.9,1.0,4.171296296296297,8,216
146800,xgboost,4,0.9,1.0,4.046296296296297,8,216
146819,catboost,0,0.9,1.0,1.9907407407407407,2,108
146819,catboost,1,0.9,1.0,1.9907407407407407,2,108
146819,catboost,2,0.9,1.0,1.9814814814814814,2,108
146819,catboost,3,0.9,1.0,2.0,2,108
146819,catboost,4,0.9,1.0,1.9907407407407407,2,108
146819,deep_ensemble,0,0.9,1.0,1.9814814814814814,2,108
146819,deep_ensemble,1,0.9,1.0,1.9907407407407407,2,108
146819,deep_ensemble,2,0.9,1.0,1.9351851851851851,2,108
146819,deep_ensemble,3,0.9,1.0,1.9351851851851851,2,108
146819,deep_ensemble,4,0.9,1.0,1.9444444444444444,2,108
146819,lgbm,0,0.9,1.0,1.9722222222222223,2,108
146819,lgbm,1,0.9,1.0,1.9907407407407407,2,108
146819,lgbm,2,0.9,1.0,1.9351851851851851,2,108
146819,lgbm,3,0.9,1.0,2.0,2,108
146819,lgbm,4,0.9,1.0,1.962962962962963,2,108
146819,mc_dropout,0,0.9,1.0,1.9814814814814814,2,108
146819,mc_dropout,1,0.9,1.0,2.0,2,108
146819,mc_dropout,2,0.9,1.0,1.9722222222222223,2,108
146819,mc_dropout,3,0.9,1.0,1.9351851851851851,2,108
146819,mc_dropout,4,0.9,1.0,1.9537037037037037,2,108
146819,single_mlp,0,0.9,1.0,1.9814814814814814,2,108
146819,single_mlp,1,0.9,1.0,1.9907407407407407,2,108
146819,single_mlp,2,0.9,1.0,1.962962962962963,2,108
146819,single_mlp,3,0.9,1.0,1.9351851851851851,2,108
146819,single_mlp,4,0.9,1.0,1.9444444444444444,2,108
146819,xgboost,0,0.9,1.0,1.9537037037037037,2,108
146819,xgboost,1,0.9,1.0,1.9722222222222223,2,108
146819,xgboost,2,0.9,1.0,1.8796296296296295,2,108
146819,xgboost,3,0.9,1.0,1.9907407407407407,2,108
146819,xgboost,4,0.9,1.0,1.9814814814814814,2,108
146820,catboost,0,0.9,1.0,1.9204545454545454,2,968
146820,catboost,1,0.9,1.0,1.9194214876033058,2,968
146820,catboost,2,0.9,1.0,1.9080578512396693,2,968
146820,catboost,3,0.9,1.0,1.9080578512396693,2,968
146820,catboost,4,0.9,1.0,1.9111570247933884,2,968
146820,deep_ensemble,0,0.9,1.0,1.887396694214876,2,968
146820,deep_ensemble,1,0.9,1.0,1.9235537190082646,2,968
146820,deep_ensemble,2,0.9,1.0,1.912190082644628,2,968
146820,deep_ensemble,3,0.9,1.0,1.912190082644628,2,968
146820,deep_ensemble,4,0.9,1.0,1.9163223140495869,2,968
146820,lgbm,0,0.9,1.0,1.9307851239669422,2,968
146820,lgbm,1,0.9,1.0,1.912190082644628,2,968
146820,lgbm,2,0.9,1.0,1.9235537190082646,2,968
146820,lgbm,3,0.9,1.0,1.9235537190082646,2,968
146820,lgbm,4,0.9,1.0,1.9028925619834711,2,968
146820,mc_dropout,0,0.9,1.0,1.8822314049586777,2,968
146820,mc_dropout,1,0.9,1.0,1.9307851239669422,2,968
146820,mc_dropout,2,0.9,1.0,1.8987603305785123,2,968
146820,mc_dropout,3,0.9,1.0,1.9080578512396693,2,968
146820,mc_dropout,4,0.9,1.0,1.9163223140495869,2,968
146820,single_mlp,0,0.9,1.0,1.8791322314049588,2,968
146820,single_mlp,1,0.9,1.0,1.9256198347107438,2,968
146820,single_mlp,2,0.9,1.0,1.9111570247933884,2,968
