family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H6,mc_dropout vs single_mlp,cal_nll,temp,,36,0.24554996192455292,0.24442058801650998,-7.1339309215476265e-06,0.858365432737628,1.0,False,0.036036036036036036,small,BNN proxy comparison,18,18,0
H6,mc_dropout vs single_mlp,cal_ece_mean,temp,,36,0.017745665794168898,0.017923293560415,3.422131479754835e-05,0.9196639081637841,1.0,False,-0.021021021021021023,small,BNN proxy comparison,18,18,0
H6,mc_dropout vs single_mlp,cal_brier_score,temp,,36,0.13964853435754776,0.13892943412065506,9.544380009175041e-05,0.4793051333690528,1.0,False,0.13813813813813813,small,BNN proxy comparison,19,17,0
H6,mc_dropout vs deep_ensemble,cal_nll,temp,,36,0.24554996192455292,0.23401750624179835,0.009624958038330078,8.047209121286869e-08,8.047209121286869e-07,True,0.9039039039039038,large,BNN proxy comparison,33,3,0
H6,mc_dropout vs deep_ensemble,cal_ece_mean,temp,,36,0.017745665794168898,0.016916196309972348,0.0003794751051221989,0.6468730494088959,1.0,False,0.09009009009009009,small,BNN proxy comparison,21,15,0
H6,mc_dropout vs deep_ensemble,cal_brier_score,temp,,36,0.13964853435754776,0.13264241814613342,0.006546556949615458,4.316098056733608e-08,4.747707862406969e-07,True,0.9159159159159159,large,BNN proxy comparison,34,2,0
H6,mc_dropout vs single_mlp,cal_nll,dirichlet,,36,0.2601290232473108,0.25000058840243344,0.0005182539377359061,0.2030111110652797,1.0,False,0.24624624624624625,small,BNN proxy comparison,21,15,0
H6,mc_dropout vs single_mlp,cal_ece_mean,dirichlet,,36,0.020534100348181303,0.0198789300773616,-0.0001818729105133995,0.6580869711178821,1.0,False,-0.08708708708708708,small,BNN proxy comparison,16,20,0
H6,mc_dropout vs single_mlp,cal_brier_score,dirichlet,,36,0.143157054159085,0.14114465767431364,4.004272323579819e-05,0.4321394343569409,1.0,False,0.15315315315315314,small,BNN proxy comparison,19,17,0
H6,mc_dropout vs deep_ensemble,cal_nll,dirichlet,,36,0.2601290232473108,0.24795853587056338,0.00889291452209566,1.0243093129247427e-06,9.218783816322684e-06,True,0.8468468468468469,large,BNN proxy comparison,32,4,0
H6,mc_dropout vs deep_ensemble,cal_ece_mean,dirichlet,,36,0.020534100348181303,0.020789962531126298,0.0004175046513634007,0.36241441484889947,1.0,False,0.17717717717717718,small,BNN proxy comparison,23,13,0
H6,mc_dropout vs deep_ensemble,cal_brier_score,dirichlet,,36,0.143157054159085,0.1346898790495925,0.005725671243452853,1.0797521099448204e-08,1.2957025319337845e-07,True,0.93993993993994,large,BNN proxy comparison,33,3,0
