family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H3,deep_ensemble vs lgbm,cal_nll,temp,,36,0.23401750624179835,0.2009865418076515,-0.0004846379160880765,0.7503284176054876,1.0,False,-0.06306306306306306,small,post-cal ensemble vs comparison,18,18,0
H3,deep_ensemble vs lgbm,cal_ece_mean,temp,,36,0.016916196309972348,0.01783731614613985,-0.0014622321464683,0.2716285473725293,1.0,False,-0.2132132132132132,small,post-cal ensemble vs comparison,16,20,0
H3,deep_ensemble vs lgbm,cal_brier_score,temp,,36,0.13264241814613342,0.1228731423616409,-0.0012217881157994166,0.7385739113087766,1.0,False,-0.06606606606606606,small,post-cal ensemble vs comparison,17,19,0
H3,deep_ensemble vs xgboost,cal_nll,temp,,36,0.23401750624179835,0.21731951087713242,-0.004076488316059133,0.4989104079431854,1.0,False,-0.13213213213213212,small,post-cal ensemble vs comparison,14,22,0
H3,deep_ensemble vs xgboost,cal_ece_mean,temp,,36,0.016916196309972348,0.016381988044576502,-0.00027170799405484966,0.7859226790606044,1.0,False,-0.05405405405405406,small,post-cal ensemble vs comparison,18,18,0
H3,deep_ensemble vs xgboost,cal_brier_score,temp,,36,0.13264241814613342,0.1250228583812713,-0.0025640260428190023,0.37916652829153463,1.0,False,-0.17117117117117117,small,post-cal ensemble vs comparison,15,21,0
H3,deep_ensemble vs catboost,cal_nll,temp,,36,0.23401750624179835,0.2246641293168068,-0.0021013151854276935,0.9196639081637841,1.0,False,-0.021021021021021023,small,post-cal ensemble vs comparison,17,19,0
H3,deep_ensemble vs catboost,cal_ece_mean,temp,,36,0.016916196309972348,0.017410688836257453,-0.0025961281399813495,0.181412478297716,1.0,False,-0.25825825825825827,small,post-cal ensemble vs comparison,11,25,0
H3,deep_ensemble vs catboost,cal_brier_score,temp,,36,0.13264241814613342,0.1307270526885986,-0.0017356798052788006,0.6807392418850213,1.0,False,-0.08108108108108109,small,post-cal ensemble vs comparison,18,18,0
H3,deep_ensemble vs single_mlp,cal_nll,temp,,36,0.23401750624179835,0.24442058801650998,-0.007708236575126662,5.061156116425991e-08,2.1256855688989162e-06,True,-0.9129129129129129,large,post-cal ensemble vs comparison,3,33,0
