w_nll,w_ece,w_brier,model,winning_calibrator
0.1,0.4,0.5,catboost,dirichlet
0.1,0.4,0.5,deep_ensemble,temp
0.1,0.4,0.5,deep_ensemble_m10,temp
0.1,0.4,0.5,deep_ensemble_m3,temp
0.1,0.4,0.5,lgbm,dirichlet
0.1,0.4,0.5,mc_dropout,temp
0.1,0.4,0.5,single_mlp,temp
0.1,0.4,0.5,xgboost,temp
0.1,0.5,0.4,catboost,dirichlet
0.1,0.5,0.4,deep_ensemble,temp
0.1,0.5,0.4,deep_ensemble_m10,temp
0.1,0.5,0.4,deep_ensemble_m3,temp
0.1,0.5,0.4,lgbm,dirichlet
0.1,0.5,0.4,mc_dropout,temp
0.1,0.5,0.4,single_mlp,temp
0.1,0.5,0.4,xgboost,temp
0.1,0.6,0.3,catboost,dirichlet
0.1,0.6,0.3,deep_ensemble,temp
0.1,0.6,0.3,deep_ensemble_m10,temp
0.1,0.6,0.3,deep_ensemble_m3,temp
0.1,0.6,0.3,lgbm,dirichlet
0.1,0.6,0.3,mc_dropout,temp
0.1,0.6,0.3,single_mlp,temp
0.1,0.6,0.3,xgboost,temp
0.1,0.7,0.2,catboost,dirichlet
0.1,0.7,0.2,deep_ensemble,temp
0.1,0.7,0.2,deep_ensemble_m10,temp
0.1,0.7,0.2,deep_ensemble_m3,temp
0.1,0.7,0.2,lgbm,dirichlet
0.1,0.7,0.2,mc_dropout,temp
0.1,0.7,0.2,single_mlp,temp
0.1,0.7,0.2,xgboost,temp
0.1,0.8,0.1,catboost,dirichlet
0.1,0.8,0.1,deep_ensemble,temp
0.1,0.8,0.1,deep_ensemble_m10,temp
0.1,0.8,0.1,deep_ensemble_m3,temp
0.1,0.8,0.1,lgbm,dirichlet
0.1,0.8,0.1,mc_dropout,temp
0.1,0.8,0.1,single_mlp,temp
0.1,0.8,0.1,xgboost,temp
0.1,0.9,0.0,catboost,dirichlet
0.1,0.9,0.0,deep_ensemble,temp
0.1,0.9,0.0,deep_ensemble_m10,temp
0.1,0.9,0.0,deep_ensemble_m3,temp
0.1,0.9,0.0,lgbm,dirichlet
0.1,0.9,0.0,mc_dropout,temp
0.1,0.9,0.0,single_mlp,temp
0.1,0.9,0.0,xgboost,temp
0.2,0.0,0.8,catboost,dirichlet
0.2,0.0,0.8,deep_ensemble,temp
0.2,0.0,0.8,deep_ensemble_m10,temp_member
0.2,0.0,0.8,deep_ensemble_m3,temp_member
0.2,0.0,0.8,lgbm,temp
0.2,0.0,0.8,mc_dropout,temp
0.2,0.0,0.8,single_mlp,temp
0.2,0.0,0.8,xgboost,temp
0.2,0.1,0.7,catboost,dirichlet
0.2,0.1,0.7,deep_ensemble,temp
0.2,0.1,0.7,deep_ensemble_m10,temp
0.2,0.1,0.7,deep_ensemble_m3,temp
0.2,0.1,0.7,lgbm,temp
0.2,0.1,0.7,mc_dropout,temp
0.2,0.1,0.7,single_mlp,temp
0.2,0.1,0.7,xgboost,temp
0.2,0.2,0.6,catboost,dirichlet
0.2,0.2,0.6,deep_ensemble,temp
0.2,0.2,0.6,deep_ensemble_m10,temp
0.2,0.2,0.6,deep_ensemble_m3,temp
0.2,0.2,0.6,lgbm,temp
0.2,0.2,0.6,mc_dropout,temp
0.2,0.2,0.6,single_mlp,temp
0.2,0.2,0.6,xgboost,temp
0.2,0.3,0.5,catboost,dirichlet
0.2,0.3,0.5,deep_ensemble,temp
0.2,0.3,0.5,deep_ensemble_m10,temp
0.2,0.3,0.5,deep_ensemble_m3,temp
0.2,0.3,0.5,lgbm,dirichlet
0.2,0.3,0.5,mc_dropout,temp
0.2,0.3,0.5,single_mlp,temp
0.2,0.3,0.5,xgboost,temp
0.2,0.4,0.4,catboost,dirichlet
0.2,0.4,0.4,deep_ensemble,temp
0.2,0.4,0.4,deep_ensemble_m10,temp
0.2,0.4,0.4,deep_ensemble_m3,temp
0.2,0.4,0.4,lgbm,dirichlet
0.2,0.4,0.4,mc_dropout,temp
0.2,0.4,0.4,single_mlp,temp
0.2,0.4,0.4,xgboost,temp
0.2,0.5,0.3,catboost,dirichlet
0.2,0.5,0.3,deep_ensemble,temp
0.2,0.5,0.3,deep_ensemble_m10,temp
0.2,0.5,0.3,deep_ensemble_m3,temp
0.2,0.5,0.3,lgbm,dirichlet
0.2,0.5,0.3,mc_dropout,temp
0.2,0.5,0.3,single_mlp,temp
0.2,0.5,0.3,xgboost,temp
0.2,0.6,0.2,catboost,dirichlet
0.2,0.6,0.2,deep_ensemble,temp
0.2,0.6,0.2,deep_ensemble_m10,temp
0.2,0.6,0.2,deep_ensemble_m3,temp
0.2,0.6,0.2,lgbm,dirichlet
0.2,0.6,0.2,mc_dropout,temp
0.2,0.6,0.2,single_mlp,temp
0.2,0.6,0.2,xgboost,temp
0.2,0.7,0.1,catboost,dirichlet
0.2,0.7,0.1,deep_ensemble,temp
0.2,0.7,0.1,deep_ensemble_m10,temp
0.2,0.7,0.1,deep_ensemble_m3,temp
0.2,0.7,0.1,lgbm,dirichlet
0.2,0.7,0.1,mc_dropout,temp
0.2,0.7,0.1,single_mlp,temp
0.2,0.7,0.1,xgboost,temp
0.2,0.8,0.0,catboost,dirichlet
0.2,0.8,0.0,deep_ensemble,temp
0.2,0.8,0.0,deep_ensemble_m10,temp
0.2,0.8,0.0,deep_ensemble_m3,temp
0.2,0.8,0.0,lgbm,dirichlet
0.2,0.8,0.0,mc_dropout,temp
0.2,0.8,0.0,single_mlp,temp
0.2,0.8,0.0,xgboost,temp
0.3,0.0,0.7,catboost,dirichlet
0.3,0.0,0.7,deep_ensemble,temp
0.3,0.0,0.7,deep_ensemble_m10,temp_member
0.3,0.0,0.7,deep_ensemble_m3,temp_member
0.3,0.0,0.7,lgbm,temp
0.3,0.0,0.7,mc_dropout,temp
0.3,0.0,0.7,single_mlp,temp
0.3,0.0,0.7,xgboost,temp
0.3,0.1,0.6,catboost,dirichlet
0.3,0.1,0.6,deep_ensemble,temp
0.3,0.1,0.6,deep_ensemble_m10,temp
0.3,0.1,0.6,deep_ensemble_m3,temp
0.3,0.1,0.6,lgbm,temp
0.3,0.1,0.6,mc_dropout,temp
0.3,0.1,0.6,single_mlp,temp
0.3,0.1,0.6,xgboost,temp
0.3,0.2,0.5,catboost,dirichlet
0.3,0.2,0.5,deep_ensemble,temp
0.3,0.2,0.5,deep_ensemble_m10,temp
0.3,0.2,0.5,deep_ensemble_m3,temp
0.3,0.2,0.5,lgbm,temp
0.3,0.2,0.5,mc_dropout,temp
0.3,0.2,0.5,single_mlp,temp
0.3,0.2,0.5,xgboost,temp
0.3,0.3,0.4,catboost,dirichlet
0.3,0.3,0.4,deep_ensemble,temp
0.3,0.3,0.4,deep_ensemble_m10,temp
0.3,0.3,0.4,deep_ensemble_m3,temp
0.3,0.3,0.4,lgbm,dirichlet
0.3,0.3,0.4,mc_dropout,temp
0.3,0.3,0.4,single_mlp,temp
0.3,0.3,0.4,xgboost,temp
0.3,0.4,0.3,catboost,dirichlet
0.3,0.4,0.3,deep_ensemble,temp
0.3,0.4,0.3,deep_ensemble_m10,temp
0.3,0.4,0.3,deep_ensemble_m3,temp
0.3,0.4,0.3,lgbm,dirichlet
0.3,0.4,0.3,mc_dropout,temp
0.3,0.4,0.3,single_mlp,temp
0.3,0.4,0.3,xgboost,temp
0.3,0.5,0.2,catboost,dirichlet
0.3,0.5,0.2,deep_ensemble,temp
0.3,0.5,0.2,deep_ensemble_m10,temp
0.3,0.5,0.2,deep_ensemble_m3,temp
0.3,0.5,0.2,lgbm,dirichlet
0.3,0.5,0.2,mc_dropout,temp
0.3,0.5,0.2,single_mlp,temp
0.3,0.5,0.2,xgboost,temp
0.3,0.6,0.1,catboost,dirichlet
0.3,0.6,0.1,deep_ensemble,temp
0.3,0.6,0.1,deep_ensemble_m10,temp
0.3,0.6,0.1,deep_ensemble_m3,temp
0.3,0.6,0.1,lgbm,dirichlet
0.3,0.6,0.1,mc_dropout,temp
0.3,0.6,0.1,single_mlp,temp
0.3,0.6,0.1,xgboost,temp
0.3,0.7,0.0,catboost,dirichlet
0.3,0.7,0.0,deep_ensemble,temp
0.3,0.7,0.0,deep_ensemble_m10,temp
0.3,0.7,0.0,deep_ensemble_m3,temp
0.3,0.7,0.0,lgbm,dirichlet
0.3,0.7,0.0,mc_dropout,temp
0.3,0.7,0.0,single_mlp,temp
0.3,0.7,0.0,xgboost,temp
0.4,0.0,0.6,catboost,dirichlet
0.4,0.0,0.6,deep_ensemble,temp
0.4,0.0,0.6,deep_ensemble_m10,temp_member
0.4,0.0,0.6,deep_ensemble_m3,temp_member
0.4,0.0,0.6,lgbm,temp
0.4,0.0,0.6,mc_dropout,temp
0.4,0.0,0.6,single_mlp,temp
0.4,0.0,0.6,xgboost,temp
0.4,0.1,0.5,catboost,dirichlet
0.4,0.1,0.5,deep_ensemble,temp
0.4,0.1,0.5,deep_ensemble_m10,temp
0.4,0.1,0.5,deep_ensemble_m3,temp
0.4,0.1,0.5,lgbm,temp
0.4,0.1,0.5,mc_dropout,temp
0.4,0.1,0.5,single_mlp,temp
0.4,0.1,0.5,xgboost,temp
0.4,0.2,0.4,catboost,dirichlet
0.4,0.2,0.4,deep_ensemble,temp
0.4,0.2,0.4,deep_ensemble_m10,temp
0.4,0.2,0.4,deep_ensemble_m3,temp
0.4,0.2,0.4,lgbm,dirichlet
0.4,0.2,0.4,mc_dropout,temp
0.4,0.2,0.4,single_mlp,temp
0.4,0.2,0.4,xgboost,temp
0.4,0.3,0.3,catboost,dirichlet
0.4,0.3,0.3,deep_ensemble,temp
0.4,0.3,0.3,deep_ensemble_m10,temp
0.4,0.3,0.3,deep_ensemble_m3,temp
0.4,0.3,0.3,lgbm,dirichlet
0.4,0.3,0.3,mc_dropout,temp
0.4,0.3,0.3,single_mlp,temp
0.4,0.3,0.3,xgboost,temp
0.4,0.4,0.2,catboost,dirichlet
0.4,0.4,0.2,deep_ensemble,temp
0.4,0.4,0.2,deep_ensemble_m10,temp
0.4,0.4,0.2,deep_ensemble_m3,temp
0.4,0.4,0.2,lgbm,dirichlet
0.4,0.4,0.2,mc_dropout,temp
0.4,0.4,0.2,single_mlp,temp
0.4,0.4,0.2,xgboost,temp
0.4,0.5,0.1,catboost,dirichlet
0.4,0.5,0.1,deep_ensemble,temp
0.4,0.5,0.1,deep_ensemble_m10,temp
0.4,0.5,0.1,deep_ensemble_m3,temp
0.4,0.5,0.1,lgbm,dirichlet
0.4,0.5,0.1,mc_dropout,temp
0.4,0.5,0.1,single_mlp,temp
0.4,0.5,0.1,xgboost,temp
0.4,0.6,0.0,catboost,dirichlet
0.4,0.6,0.0,deep_ensemble,temp
0.4,0.6,0.0,deep_ensemble_m10,temp
0.4,0.6,0.0,deep_ensemble_m3,temp
0.4,0.6,0.0,lgbm,dirichlet
0.4,0.6,0.0,mc_dropout,temp
0.4,0.6,0.0,single_mlp,temp
0.4,0.6,0.0,xgboost,temp
0.5,0.0,0.5,catboost,dirichlet
0.5,0.0,0.5,deep_ensemble,temp
0.5,0.0,0.5,deep_ensemble_m10,temp
0.5,0.0,0.5,deep_ensemble_m3,temp_member
0.5,0.0,0.5,lgbm,temp
0.5,0.0,0.5,mc_dropout,temp
0.5,0.0,0.5,single_mlp,temp
0.5,0.0,0.5,xgboost,temp
0.5,0.1,0.4,catboost,dirichlet
0.5,0.1,0.4,deep_ensemble,temp
0.5,0.1,0.4,deep_ensemble_m10,temp
0.5,0.1,0.4,deep_ensemble_m3,temp
0.5,0.1,0.4,lgbm,temp
0.5,0.1,0.4,mc_dropout,temp
0.5,0.1,0.4,single_mlp,temp
0.5,0.1,0.4,xgboost,temp
0.5,0.2,0.3,catboost,dirichlet
0.5,0.2,0.3,deep_ensemble,temp
0.5,0.2,0.3,deep_ensemble_m10,temp
0.5,0.2,0.3,deep_ensemble_m3,temp
0.5,0.2,0.3,lgbm,dirichlet
0.5,0.2,0.3,mc_dropout,temp
0.5,0.2,0.3,single_mlp,temp
0.5,0.2,0.3,xgboost,temp
0.5,0.3,0.2,catboost,dirichlet
0.5,0.3,0.2,deep_ensemble,temp
0.5,0.3,0.2,deep_ensemble_m10,temp
0.5,0.3,0.2,deep_ensemble_m3,temp
0.5,0.3,0.2,lgbm,dirichlet
0.5,0.3,0.2,mc_dropout,temp
0.5,0.3,0.2,single_mlp,temp
0.5,0.3,0.2,xgboost,temp
0.5,0.4,0.1,catboost,dirichlet
0.5,0.4,0.1,deep_ensemble,temp
0.5,0.4,0.1,deep_ensemble_m10,temp
0.5,0.4,0.1,deep_ensemble_m3,temp
0.5,0.4,0.1,lgbm,dirichlet
0.5,0.4,0.1,mc_dropout,temp
0.5,0.4,0.1,single_mlp,temp
0.5,0.4,0.1,xgboost,temp
0.5,0.5,0.0,catboost,dirichlet
0.5,0.5,0.0,deep_ensemble,temp
0.5,0.5,0.0,deep_ensemble_m10,temp
0.5,0.5,0.0,deep_ensemble_m3,temp
0.5,0.5,0.0,lgbm,dirichlet
0.5,0.5,0.0,mc_dropout,temp
0.5,0.5,0.0,single_mlp,temp
0.5,0.5,0.0,xgboost,temp
0.6,0.0,0.4,catboost,dirichlet
0.6,0.0,0.4,deep_ensemble,temp
0.6,0.0,0.4,deep_ensemble_m10,temp
0.6,0.0,0.4,deep_ensemble_m3,temp_member
0.6,0.0,0.4,lgbm,temp
0.6,0.0,0.4,mc_dropout,temp
0.6,0.0,0.4,single_mlp,temp
0.6,0.0,0.4,xgboost,temp
0.6,0.1,0.3,catboost,dirichlet
0.6,0.1,0.3,deep_ensemble,temp
0.6,0.1,0.3,deep_ensemble_m10,temp
0.6,0.1,0.3,deep_ensemble_m3,temp
0.6,0.1,0.3,lgbm,dirichlet
0.6,0.1,0.3,mc_dropout,temp
0.6,0.1,0.3,single_mlp,temp
0.6,0.1,0.3,xgboost,temp
0.6,0.2,0.2,catboost,dirichlet
0.6,0.2,0.2,deep_ensemble,temp
0.6,0.2,0.2,deep_ensemble_m10,temp
0.6,0.2,0.2,deep_ensemble_m3,temp
0.6,0.2,0.2,lgbm,dirichlet
0.6,0.2,0.2,mc_dropout,temp
0.6,0.2,0.2,single_mlp,temp
0.6,0.2,0.2,xgboost,temp
0.6,0.3,0.1,catboost,dirichlet
0.6,0.3,0.1,deep_ensemble,temp
0.6,0.3,0.1,deep_ensemble_m10,temp
0.6,0.3,0.1,deep_ensemble_m3,temp
0.6,0.3,0.1,lgbm,dirichlet
0.6,0.3,0.1,mc_dropout,temp
0.6,0.3,0.1,single_mlp,temp
0.6,0.3,0.1,xgboost,temp
0.6,0.4,0.0,catboost,dirichlet
0.6,0.4,0.0,deep_ensemble,temp
0.6,0.4,0.0,deep_ensemble_m10,temp
0.6,0.4,0.0,deep_ensemble_m3,temp
0.6,0.4,0.0,lgbm,dirichlet
0.6,0.4,0.0,mc_dropout,temp
0.6,0.4,0.0,single_mlp,temp
0.6,0.4,0.0,xgboost,temp
0.7,0.0,0.3,catboost,dirichlet
0.7,0.0,0.3,deep_ensemble,temp
0.7,0.0,0.3,deep_ensemble_m10,temp
0.7,0.0,0.3,deep_ensemble_m3,temp_member
0.7,0.0,0.3,lgbm,temp
0.7,0.0,0.3,mc_dropout,temp
0.7,0.0,0.3,single_mlp,temp
0.7,0.0,0.3,xgboost,temp
0.7,0.1,0.2,catboost,dirichlet
0.7,0.1,0.2,deep_ensemble,temp
0.7,0.1,0.2,deep_ensemble_m10,temp
0.7,0.1,0.2,deep_ensemble_m3,temp
0.7,0.1,0.2,lgbm,dirichlet
0.7,0.1,0.2,mc_dropout,temp
0.7,0.1,0.2,single_mlp,temp
0.7,0.1,0.2,xgboost,temp
0.7,0.2,0.1,catboost,dirichlet
0.7,0.2,0.1,deep_ensemble,temp
0.7,0.2,0.1,deep_ensemble_m10,temp
0.7,0.2,0.1,deep_ensemble_m3,temp
0.7,0.2,0.1,lgbm,dirichlet
0.7,0.2,0.1,mc_dropout,temp
0.7,0.2,0.1,single_mlp,temp
0.7,0.2,0.1,xgboost,temp
0.7,0.3,0.0,catboost,dirichlet
0.7,0.3,0.0,deep_ensemble,temp
0.7,0.3,0.0,deep_ensemble_m10,temp
0.7,0.3,0.0,deep_ensemble_m3,temp
0.7,0.3,0.0,lgbm,dirichlet
0.7,0.3,0.0,mc_dropout,temp
0.7,0.3,0.0,single_mlp,temp
0.7,0.3,0.0,xgboost,temp
0.8,0.0,0.2,catboost,dirichlet
0.8,0.0,0.2,deep_ensemble,temp_member
0.8,0.0,0.2,deep_ensemble_m10,temp
0.8,0.0,0.2,deep_ensemble_m3,temp_member
0.8,0.0,0.2,lgbm,dirichlet
0.8,0.0,0.2,mc_dropout,temp
0.8,0.0,0.2,single_mlp,temp
0.8,0.0,0.2,xgboost,temp
0.8,0.1,0.1,catboost,dirichlet
0.8,0.1,0.1,deep_ensemble,temp
0.8,0.1,0.1,deep_ensemble_m10,temp
0.8,0.1,0.1,deep_ensemble_m3,temp
0.8,0.1,0.1,lgbm,dirichlet
0.8,0.1,0.1,mc_dropout,temp
0.8,0.1,0.1,single_mlp,temp
0.8,0.1,0.1,xgboost,temp
0.8,0.2,0.0,catboost,dirichlet
0.8,0.2,0.0,deep_ensemble,temp
0.8,0.2,0.0,deep_ensemble_m10,temp
0.8,0.2,0.0,deep_ensemble_m3,temp
0.8,0.2,0.0,lgbm,dirichlet
0.8,0.2,0.0,mc_dropout,temp
0.8,0.2,0.0,single_mlp,temp
0.8,0.2,0.0,xgboost,temp
0.9,0.0,0.1,catboost,dirichlet
0.9,0.0,0.1,deep_ensemble,temp_member
0.9,0.0,0.1,deep_ensemble_m10,temp
0.9,0.0,0.1,deep_ensemble_m3,temp_member
0.9,0.0,0.1,lgbm,dirichlet
0.9,0.0,0.1,mc_dropout,temp
0.9,0.0,0.1,single_mlp,temp
0.9,0.0,0.1,xgboost,dirichlet
0.9,0.1,0.0,catboost,dirichlet
0.9,0.1,0.0,deep_ensemble,temp
0.9,0.1,0.0,deep_ensemble_m10,temp
0.9,0.1,0.0,deep_ensemble_m3,temp
0.9,0.1,0.0,lgbm,dirichlet
0.9,0.1,0.0,mc_dropout,temp
0.9,0.1,0.0,single_mlp,temp
0.9,0.1,0.0,xgboost,dirichlet
1.0,0.0,0.0,catboost,dirichlet
1.0,0.0,0.0,deep_ensemble,temp_member
1.0,0.0,0.0,deep_ensemble_m10,temp
1.0,0.0,0.0,deep_ensemble_m3,temp_member
1.0,0.0,0.0,lgbm,dirichlet
1.0,0.0,0.0,mc_dropout,temp
1.0,0.0,0.0,single_mlp,temp
1.0,0.0,0.0,xgboost,dirichlet
