task_id,dataset_name,n_samples,n_train,n_val_es,n_val_cal,n_test,n_features,n_classes,seed,model,calibrator,calibrator_label,cal_nll,cal_brier_score,cal_accuracy,cal_ece_10,cal_ece_15,cal_ece_20,cal_ece_mean,raw_nll,raw_brier_score,raw_accuracy,raw_ece_10,raw_ece_15,raw_ece_20,raw_ece_mean,train_time_s
15,breast-w,699,377,42,140,140,9,2,0,lgbm,none,No calibration,0.12661416752200572,0.06266797352688165,0.9642857142857143,0.030584667507114895,0.03285102982621242,0.03285102982621244,0.032095575719846586,0.12661416752200572,0.06266797352688165,0.9642857142857143,0.030584667507114895,0.03285102982621242,0.03285102982621244,0.032095575719846586,0.1
15,breast-w,699,377,42,140,140,9,2,0,lgbm,temp,Temperature Scaling,0.1194462925195694,0.061209242790937424,0.9642857142857143,0.016779402749879047,0.02502576581069403,0.027094204936708756,0.02296645783242728,0.12661416752200572,0.06266797352688165,0.9642857142857143,0.030584667507114895,0.03285102982621242,0.03285102982621244,0.032095575719846586,0.08
15,breast-w,699,377,42,140,140,9,2,0,lgbm,logistic,Logistic Recalibration,0.15103060573911042,0.07386673032583135,0.9571428571428572,0.06309364905448656,0.06309364905448647,0.06537209355064463,0.06385313055320589,0.12661416752200572,0.06266797352688165,0.9642857142857143,0.030584667507114895,0.03285102982621242,0.03285102982621244,0.032095575719846586,0.09
15,breast-w,699,377,42,140,140,9,2,0,lgbm,isotonic,Isotonic Regression,0.21524951209155418,0.0661501436382594,0.95,0.04207214573992152,0.03135786002563579,0.04564357431135008,0.039691193358969125,0.12661416752200572,0.06266797352688165,0.9642857142857143,0.030584667507114895,0.03285102982621242,0.03285102982621244,0.032095575719846586,0.09
15,breast-w,699,377,42,140,140,9,2,0,xgboost,none,No calibration,0.14539620280265808,0.07170446962118149,0.9571428571428572,0.04181431829929351,0.0514443299600056,0.05372042868818555,0.04899302564916155,0.14539620280265808,0.07170446962118149,0.9571428571428572,0.04181431829929351,0.0514443299600056,0.05372042868818555,0.04899302564916155,0.34
15,breast-w,699,377,42,140,140,9,2,0,xgboost,temp,Temperature Scaling,0.12955743074417114,0.06969133019447327,0.9571428571428572,0.030058095710618158,0.03188128556524008,0.031881243416241226,0.031273541564033155,0.14539620280265808,0.07170446962118149,0.9571428571428572,0.04181431829929351,0.0514443299600056,0.05372042868818555,0.04899302564916155,0.17
15,breast-w,699,377,42,140,140,9,2,0,xgboost,logistic,Logistic Recalibration,0.1660939434675899,0.08320999123235223,0.95,0.04124246475799393,0.046368397697041784,0.04930310741420148,0.045637989956412404,0.14539620280265808,0.07170446962118149,0.9571428571428572,0.04181431829929351,0.0514443299600056,0.05372042868818555,0.04899302564916155,0.17
15,breast-w,699,377,42,140,140,9,2,0,xgboost,isotonic,Isotonic Regression,0.3469967246055603,0.07958964258432388,0.9428571428571428,0.049896806052752936,0.04036204602037159,0.05107633173465731,0.04711172793592728,0.14539620280265808,0.07170446962118149,0.9571428571428572,0.04181431829929351,0.0514443299600056,0.05372042868818555,0.04899302564916155,0.23
15,breast-w,699,377,42,140,140,9,2,0,single_mlp,none,No calibration,0.10977911204099655,0.04849440976977348,0.9714285714285714,0.0297349112374442,0.029734965307371995,0.03311663014548166,0.030862168896765952,0.10977911204099655,0.04849440976977348,0.9714285714285714,0.0297349112374442,0.029734965307371995,0.03311663014548166,0.030862168896765952,0.56
15,breast-w,699,377,42,140,140,9,2,0,single_mlp,temp,Temperature Scaling,0.09967425465583801,0.04684368148446083,0.9714285714285714,0.014500685674803584,0.015013375026839144,0.014500639694077631,0.014671566798573454,0.10977911204099655,0.04849440976977348,0.9714285714285714,0.0297349112374442,0.029734965307371995,0.03311663014548166,0.030862168896765952,0.18
15,breast-w,699,377,42,140,140,9,2,0,single_mlp,logistic,Logistic Recalibration,0.1164946948869268,0.05151978867832504,0.9714285714285714,0.05000048327226327,0.06092382747597215,0.05376060492954625,0.05489497189259388,0.10977911204099655,0.04849440976977348,0.9714285714285714,0.0297349112374442,0.029734965307371995,0.03311663014548166,0.030862168896765952,0.18
15,breast-w,699,377,42,140,140,9,2,0,single_mlp,isotonic,Isotonic Regression,0.3011651039123535,0.054552629590034485,0.9642857142857143,0.01997916996479037,0.024741078700338114,0.02474107784884319,0.023153775504657224,0.10977911204099655,0.04849440976977348,0.9714285714285714,0.0297349112374442,0.029734965307371995,0.03311663014548166,0.030862168896765952,0.16
15,breast-w,699,377,42,140,140,9,2,0,deep_ensemble,none,No calibration,0.10923504084348679,0.048111725598573685,0.9714285714285714,0.03217997125216894,0.04263660141399926,0.04111359289714271,0.03864338852110364,0.10923504084348679,0.048111725598573685,0.9714285714285714,0.03217997125216894,0.04263660141399926,0.04111359289714271,0.03864338852110364,0.77
15,breast-w,699,377,42,140,140,9,2,0,deep_ensemble,temp,Temperature Scaling,0.09615205973386765,0.04600847139954567,0.9714285714285714,0.020990153721400655,0.02199350169726783,0.028115919232368475,0.02369985821701232,0.10923504084348679,0.048111725598573685,0.9714285714285714,0.03217997125216894,0.04263660141399926,0.04111359289714271,0.03864338852110364,0.73
15,breast-w,699,377,42,140,140,9,2,0,deep_ensemble,logistic,Logistic Recalibration,0.1163613908459843,0.05176846307961214,0.9714285714285714,0.050060608947049334,0.06021184261008078,0.06295381533352486,0.05774208896355165,0.10923504084348679,0.048111725598573685,0.9714285714285714,0.03217997125216894,0.04263660141399926,0.04111359289714271,0.03864338852110364,0.76
15,breast-w,699,377,42,140,140,9,2,0,deep_ensemble,isotonic,Isotonic Regression,0.3024251163005829,0.05577464401721954,0.9642857142857143,0.014808387841497172,0.014808387841497172,0.015566999997411405,0.01506125856013525,0.10923504084348679,0.048111725598573685,0.9714285714285714,0.03217997125216894,0.04263660141399926,0.04111359289714271,0.03864338852110364,0.73
