task_id,dataset_name,n_samples,n_train,n_val_es,n_val_cal,n_test,n_features,n_classes,seed,model,calibrator,calibrator_label,cal_nll,cal_brier_score,cal_accuracy,cal_ece_10,cal_ece_15,cal_ece_20,cal_ece_mean,raw_nll,raw_brier_score,raw_accuracy,raw_ece_10,raw_ece_15,raw_ece_20,raw_ece_mean,train_time_s
32,pendigits,10992,5935,660,2198,2199,16,10,0,tabpfn,none,No calibration,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,5.22
32,pendigits,10992,5935,660,2198,2199,16,10,0,tabpfn,temp,Temperature Scaling,0.014753809198737144,0.005705348681658506,0.9963619827194179,0.0016718557771089808,0.0016180328099822485,0.002088161775772038,0.0017926834542877558,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,5.22
32,pendigits,10992,5935,660,2198,2199,16,10,0,tabpfn,logistic,Logistic Recalibration,0.03983653061167753,0.00654779414172646,0.9963619827194179,0.024680907465503228,0.02542393810223927,0.026212330804835614,0.025439058790859375,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,5.22
32,pendigits,10992,5935,660,2198,2199,16,10,0,tabpfn,isotonic,Isotonic Regression,0.037677448242902756,0.0057038613595068455,0.9968167348794906,0.002036018797677989,0.0016944370740323708,0.0024601014406370235,0.0020635191041157943,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,5.22
32,pendigits,10992,5935,660,2198,2199,16,10,0,tabpfn,dirichlet,Dirichlet ODIR,0.037459235051578756,0.008538573016431187,0.9949977262391997,0.003222539644146585,0.003222539644146773,0.0034197554298909492,0.0032882782393947687,0.014760269783437252,0.005706137511879206,0.9963619827194179,0.0016574417802083191,0.0016280591027094252,0.0020835813526242377,0.0017896940785139942,5.22
32,pendigits,10992,5935,660,2198,2199,16,10,1,tabpfn,none,No calibration,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.67
32,pendigits,10992,5935,660,2198,2199,16,10,1,tabpfn,temp,Temperature Scaling,0.009213791228830814,0.002134618815034628,0.9990904956798545,0.0014687047973986926,0.0016198300296147005,0.0017284631674915492,0.0016056659981683139,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.67
32,pendigits,10992,5935,660,2198,2199,16,10,1,tabpfn,logistic,Logistic Recalibration,0.029835632053679582,0.0024864615493232502,0.9990904956798545,0.025083081144935966,0.025083081144935876,0.025083081144935883,0.025083081144935907,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.67
32,pendigits,10992,5935,660,2198,2199,16,10,1,tabpfn,isotonic,Isotonic Regression,0.03335088491439819,0.004086053464561701,0.9977262391996362,0.0023951679264864393,0.0022906958379220986,0.00239503353820604,0.002360299100871526,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.67
32,pendigits,10992,5935,660,2198,2199,16,10,1,tabpfn,dirichlet,Dirichlet ODIR,0.018860400993816927,0.0027225690861562395,0.9986357435197817,0.001151738576654978,0.0013283255419769325,0.0015566136004628991,0.0013455592396982698,0.009048876352608204,0.002558513544499874,0.9990904956798545,0.002528783487915879,0.0030541895410590636,0.0034139309486729166,0.002998967992549286,0.67
32,pendigits,10992,5935,660,2198,2199,16,10,2,tabpfn,none,No calibration,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.62
32,pendigits,10992,5935,660,2198,2199,16,10,2,tabpfn,temp,Temperature Scaling,0.015290911309421062,0.005049980711191893,0.9968167348794906,0.0008594968634444953,0.002174759951977862,0.0015984514779858088,0.001544236097802722,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.62
32,pendigits,10992,5935,660,2198,2199,16,10,2,tabpfn,logistic,Logistic Recalibration,0.037339990025132594,0.005968589009898016,0.9968167348794906,0.023286912221739273,0.025730777700190034,0.026116355882096542,0.025044681934675284,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.62
32,pendigits,10992,5935,660,2198,2199,16,10,2,tabpfn,isotonic,Isotonic Regression,0.03602602332830429,0.004869377706199884,0.9972714870395635,0.002465143671031381,0.00265513435717652,0.0026625423281774955,0.0025942734521284655,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.62
32,pendigits,10992,5935,660,2198,2199,16,10,2,tabpfn,dirichlet,Dirichlet ODIR,0.021605836439756426,0.005101416648853568,0.9972714870395635,0.0023431485227097064,0.002709094438940274,0.0028044800924972306,0.002618907684715737,0.015256709419190884,0.005052764434367418,0.9968167348794906,0.0007114862788530855,0.002205994330844661,0.0016274373875037294,0.0015149726657338253,0.62
32,pendigits,10992,5935,660,2198,2199,16,10,3,tabpfn,none,No calibration,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.96
32,pendigits,10992,5935,660,2198,2199,16,10,3,tabpfn,temp,Temperature Scaling,0.01673760637640953,0.006055167410522699,0.9963619827194179,0.0013457517046015373,0.0030092626417046377,0.002414672807868733,0.0022565623847249695,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.96
32,pendigits,10992,5935,660,2198,2199,16,10,3,tabpfn,logistic,Logistic Recalibration,0.04092335813629006,0.00683840872234607,0.9968167348794906,0.024470757093092398,0.025796710716186923,0.02572625315663891,0.025331240321972745,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.96
32,pendigits,10992,5935,660,2198,2199,16,10,3,tabpfn,isotonic,Isotonic Regression,0.05097527801990509,0.006417565513402224,0.9968167348794906,0.0020666497845495727,0.0022082250733004255,0.002496917527499286,0.0022572641284497614,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.96
32,pendigits,10992,5935,660,2198,2199,16,10,3,tabpfn,dirichlet,Dirichlet ODIR,0.03939733685458021,0.005890677197335577,0.9963619827194179,0.0025821264861628306,0.002582126486163068,0.0027071694097604944,0.0026238074606954646,0.016720395535230637,0.006054295226931572,0.9963619827194179,0.0013548132098225136,0.003001424346310594,0.002408772191984037,0.0022550032493723815,0.96
32,pendigits,10992,5935,660,2198,2199,16,10,4,tabpfn,none,No calibration,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.6
32,pendigits,10992,5935,660,2198,2199,16,10,4,tabpfn,temp,Temperature Scaling,0.01352439634501934,0.0042408909648656845,0.9977262391996362,0.0018976113372306206,0.001850350627361452,0.0020768216871683747,0.001941594550586816,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.6
32,pendigits,10992,5935,660,2198,2199,16,10,4,tabpfn,logistic,Logistic Recalibration,0.03604541603375912,0.00468194728091538,0.9977262391996362,0.02415994658796776,0.024203500358213965,0.02457033336274599,0.024311260102975903,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.6
32,pendigits,10992,5935,660,2198,2199,16,10,4,tabpfn,isotonic,Isotonic Regression,0.036567993462085724,0.004550553392618895,0.9972714870395635,0.0008598527735122609,0.0012495817414139446,0.0011095817066583919,0.0010730054071948656,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.6
32,pendigits,10992,5935,660,2198,2199,16,10,4,tabpfn,dirichlet,Dirichlet ODIR,0.03791577536477142,0.006396310606126372,0.9959072305593452,0.002305850405476638,0.0023058504054765112,0.0025575676795900394,0.0023897561635143963,0.01353111956268549,0.004239047411829233,0.9977262391996362,0.0018852876500141886,0.0018603618495190539,0.002069512759083318,0.0019383874195388533,0.6
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,0,tabpfn,none,No calibration,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.75
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,0,tabpfn,temp,Temperature Scaling,0.05617890506982803,0.03355490788817406,0.9760289461781999,0.007999616475840719,0.008537610991946772,0.008430959034267998,0.008322728834018496,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.75
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,0,tabpfn,logistic,Logistic Recalibration,0.07387159586368931,0.037632801225146666,0.9755766621438263,0.015821857979817826,0.019694263302791976,0.02151585021003485,0.01901065716421488,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.75
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,0,tabpfn,isotonic,Isotonic Regression,0.0601830929517746,0.03750545531511307,0.9724106739032112,0.012236587767253802,0.012236560404651155,0.014497979632981066,0.012990375934962007,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.75
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,0,tabpfn,dirichlet,Dirichlet ODIR,0.05801237174642003,0.034566014299309486,0.973767526006332,0.008834765979072878,0.010639770844587695,0.009438161767716509,0.009637566197125693,0.05441844463348389,0.03342774882912636,0.9760289461781999,0.00444146922032582,0.006375218990538154,0.00873376850303295,0.006516818904632307,0.75
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,1,tabpfn,none,No calibration,0.061894115060567856,0.039074696600437164,0.9724106739032112,0.004247211536526524,0.006780060073036483,0.00827548912023322,0.006434253576598742,0.061894115060567856,0.039074696600437164,0.9724106739032112,0.004247211536526524,0.006780060073036483,0.00827548912023322,0.006434253576598742,0.77
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,1,tabpfn,temp,Temperature Scaling,0.06199802830815315,0.038873977959156036,0.9724106739032112,0.005067898185476342,0.005655694660262722,0.005679344386873246,0.005467645744204104,0.061894115060567856,0.039074696600437164,0.9724106739032112,0.004247211536526524,0.006780060073036483,0.00827548912023322,0.006434253576598742,0.77
14952,PhishingWebsites,11055,5969,664,2211,2211,30,2,1,tabpfn,logistic,Logistic Recalibration,0.08284649824861257,0.042921931853166034,0.9728629579375848,0.012060496987874248,0.01440414960365732,0.016224611254661438,0.014229752615397669,0.061894115060567856,0.039074696600437164,0.9724106739032112,0.004247211536526524,0.006780060073036483,0.00827548912023322,0.006434253576598742,0.77
