task_id,dataset_name,n_samples,n_features,n_classes,seed,model,calibrator,label_noise_eta,cal_nll,cal_brier_score,cal_accuracy,cal_ece_10,cal_ece_15,cal_ece_20,cal_ece_mean,raw_nll,raw_brier_score,raw_accuracy,raw_ece_10,raw_ece_15,raw_ece_20,raw_ece_mean,train_time_s
3913,kc2,522,21,2,0,lgbm,none,0.1,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.02
3913,kc2,522,21,2,0,lgbm,temp,0.1,0.3877919614315033,0.23936580121517181,0.8285714285714286,0.05646028745742071,0.07331997894105459,0.07537170818873815,0.06838399152907114,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.02
3913,kc2,522,21,2,0,lgbm,logistic,0.1,0.42520388558455835,0.2646265544779111,0.8285714285714286,0.12216101789226755,0.12216101789226752,0.12830745251144368,0.12420982943199292,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.02
3913,kc2,522,21,2,0,lgbm,isotonic,0.1,0.36065891278859347,0.22510317752344336,0.8476190476190476,0.047947027750733395,0.07565880885400858,0.055858705406070915,0.0598215140036043,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.02
3913,kc2,522,21,2,0,lgbm,dirichlet,0.1,0.3689853861809126,0.22600927500797205,0.8380952380952381,0.062547046941218,0.06303520477702128,0.08426314312367805,0.06994846494730578,0.3936479660335365,0.24107048333214717,0.8285714285714286,0.057440231480300585,0.07401566161873445,0.08176251831327912,0.07107280380410473,0.02
3913,kc2,522,21,2,0,xgboost,none,0.1,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.04
3913,kc2,522,21,2,0,xgboost,temp,0.1,0.43900227546691895,0.27702975273132324,0.8285714285714286,0.045790587152753554,0.08334014188675655,0.05617458593277704,0.061768438324095724,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.04
3913,kc2,522,21,2,0,xgboost,logistic,0.1,0.46724135218946095,0.2972048553202048,0.7904761904761904,0.08079542840500346,0.08255926211036393,0.08079542840500349,0.08138337297345695,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.04
3913,kc2,522,21,2,0,xgboost,isotonic,0.1,0.4559027850627899,0.2888735234737396,0.8095238095238095,0.062138447307405066,0.06213842914217994,0.07046418019703457,0.0649136855488732,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.04
3913,kc2,522,21,2,0,xgboost,dirichlet,0.1,0.4216149609105995,0.2651130251992772,0.8285714285714286,0.06135619595012701,0.03392672301036366,0.07564950343994409,0.056977474133478256,0.44478049874305725,0.2786124348640442,0.8285714285714286,0.06790530000414169,0.06919973634538198,0.06790526253836494,0.06833676629596287,0.04
3913,kc2,522,21,2,0,catboost,none,0.1,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.41468328068583743,0.24987422508703622,0.8285714285714286,0.11116383802394716,0.1430472870252025,0.11932020044277664,0.1245104418306421,0.1
