family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H5,temp_member vs temp,cal_nll,,deep_ensemble,36,0.2327036634087562,0.23401750624179835,0.0004602000117301941,0.000991061155218631,0.006937428086530417,True,0.6096096096096096,large,member-level vs pseudo-logit TS,27,9,0
H5,temp_member vs temp,cal_ece_mean,,deep_ensemble,36,0.0219809039482572,0.016916196309972348,0.00027473948174590096,0.2581243624736089,0.49016282573575154,False,0.21921921921921922,small,member-level vs pseudo-logit TS,21,15,0
H5,temp_member vs temp,cal_brier_score,,deep_ensemble,36,0.13323077559471125,0.13264241814613342,0.00014530029147866467,0.002205942291766405,0.011029711458832026,True,0.5705705705705706,large,member-level vs pseudo-logit TS,27,9,0
H5,temp_member vs temp,cal_nll,,deep_ensemble_m3,36,0.2347783520817756,0.23499596118926996,0.0002895966172218184,0.0011259853781666607,0.006937428086530417,True,0.6036036036036037,large,member-level vs pseudo-logit TS,28,8,0
H5,temp_member vs temp,cal_ece_mean,,deep_ensemble_m3,36,0.022389534254068248,0.0180512052945842,0.00012578585071089995,0.24508141286787577,0.49016282573575154,False,0.22522522522522523,small,member-level vs pseudo-logit TS,18,18,0
H5,temp_member vs temp,cal_brier_score,,deep_ensemble_m3,36,0.13377767056226725,0.13384018093347544,0.00015003723092375017,0.010977849655319005,0.04391139862127602,True,0.4804804804804805,medium,member-level vs pseudo-logit TS,25,11,0
H5,temp_member vs temp,cal_nll,,deep_ensemble_m10,36,0.23240425437688825,0.23182465881109235,0.0008474886417389194,6.088233203627169e-05,0.0005479409883264452,True,0.7237237237237237,large,member-level vs pseudo-logit TS,29,7,0
H5,temp_member vs temp,cal_ece_mean,,deep_ensemble_m10,36,0.02418800790800045,0.0166408433791031,0.0012986012295357506,0.00012632147991098464,0.001010571839287877,True,0.6966966966966966,large,member-level vs pseudo-logit TS,30,6,0
H5,temp_member vs temp,cal_brier_score,,deep_ensemble_m10,36,0.13233951479196546,0.1324464604258537,0.0001366839278489143,0.06923982678563334,0.20771948035690002,False,0.3483483483483483,medium,member-level vs pseudo-logit TS,24,12,0
