family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H7,dirichlet vs logistic,cal_nll,,lgbm,36,0.20029384446216694,0.22141398753100044,-0.025785136260072148,8.934875950217247e-09,1.4295801520347595e-07,True,-0.9429429429429429,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_ece_mean,,lgbm,36,0.01546806902444335,0.041022736173599,-0.02421412138999325,1.6696867533028126e-07,1.5027180779725313e-06,True,-0.8888888888888888,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_brier_score,,lgbm,36,0.1231651072022327,0.1274828005967519,-0.004363065364754793,7.275957614183426e-10,1.4551915228366852e-08,True,-0.975975975975976,large,Dirichlet ODIR replaces MLR,3,33,0
H7,dirichlet vs logistic,cal_nll,,xgboost,36,0.21631837888030545,0.2483726760826485,-0.025255127228461613,1.862645149230957e-08,2.7939677238464355e-07,True,-0.9309309309309309,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_ece_mean,,xgboost,36,0.01877123097170735,0.0393553389431955,-0.01919052839691235,6.912159733474255e-08,8.985807653516531e-07,True,-0.9069069069069069,large,Dirichlet ODIR replaces MLR,3,33,0
H7,dirichlet vs logistic,cal_brier_score,,xgboost,36,0.12600174246870832,0.13276420495219945,-0.004760964254835642,1.862645149230957e-08,2.7939677238464355e-07,True,-0.9309309309309309,large,Dirichlet ODIR replaces MLR,4,32,0
H7,dirichlet vs logistic,cal_nll,,catboost,36,0.22036744522062873,0.28690668162097405,-0.02384833297287109,1.4551915228366852e-10,3.4924596548080444e-09,True,-0.990990990990991,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_ece_mean,,catboost,36,0.0151456014453673,0.04028404532196335,-0.01565101667744085,3.304739948362112e-07,2.6437919586896896e-06,True,-0.8738738738738738,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_brier_score,,catboost,36,0.1251446009797225,0.13612048744509125,-0.0066280242573506926,6.024492904543877e-09,1.024163793772459e-07,True,-0.948948948948949,large,Dirichlet ODIR replaces MLR,4,32,0
H7,dirichlet vs logistic,cal_nll,,single_mlp,36,0.25000058840243344,0.29981196470434135,-0.021820700526878706,2.0372681319713593e-10,4.685716703534126e-09,True,-0.987987987987988,large,Dirichlet ODIR replaces MLR,2,34,0
H7,dirichlet vs logistic,cal_ece_mean,,single_mlp,36,0.0198789300773616,0.044195754409254204,-0.018656622613144803,1.0841176845133305e-07,1.1925294529646635e-06,True,-0.8978978978978979,large,Dirichlet ODIR replaces MLR,3,33,0
H7,dirichlet vs logistic,cal_brier_score,,single_mlp,36,0.14114465767431364,0.1487426527619023,-0.004677498869119959,6.61849626339972e-05,0.0001323699252679944,True,-0.7207207207207207,large,Dirichlet ODIR replaces MLR,9,27,0
