task_id,dataset_name,n_samples,n_features,n_classes,seed,model,calibrator,ood_sigma,cal_nll,cal_brier_score,cal_accuracy,cal_ece_10,cal_ece_15,cal_ece_20,cal_ece_mean,raw_nll,raw_brier_score,raw_accuracy,raw_ece_10,raw_ece_15,raw_ece_20,raw_ece_mean,train_time_s,peak_gpu_mem_mb
14970,har,10299,561,6,0,lgbm,none,0.5,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,7.49,211.94
14970,har,10299,561,6,0,lgbm,temp,0.5,0.255638062953949,0.15001925826072693,0.8975728155339806,0.018972488514427968,0.02274089655251177,0.02066576288452427,0.020793049317154668,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,7.49,211.94
14970,har,10299,561,6,0,lgbm,logistic,0.5,0.31720877433839745,0.16458785315166757,0.8956310679611651,0.03898671451545083,0.03762436537964099,0.04125923360312291,0.039290104499404906,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,7.49,211.94
14970,har,10299,561,6,0,lgbm,isotonic,0.5,0.3317683295424152,0.16731125759047338,0.8718446601941747,0.0372399580223471,0.031624212849518024,0.04730514591900178,0.03872310559695563,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,7.49,211.94
14970,har,10299,561,6,0,lgbm,dirichlet,0.5,0.2902502804862042,0.1765008197178626,0.8762135922330098,0.02322798124806148,0.026653095096353545,0.025018405640412848,0.024966493994942624,0.2536248150982141,0.15017721932352335,0.8975728155339806,0.013666271644653125,0.020117119882380637,0.020087501277562994,0.017956964268198917,7.49,211.94
14970,har,10299,561,6,0,lgbm,none,1.0,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,7.49,211.94
14970,har,10299,561,6,0,lgbm,temp,1.0,0.6321425437927246,0.3471720516681671,0.7611650485436893,0.054393157825886614,0.05303030187643848,0.05535056168593249,0.054258007129419195,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,7.49,211.94
14970,har,10299,561,6,0,lgbm,logistic,1.0,0.7437132824166277,0.3753149248602327,0.7597087378640777,0.105823120645879,0.10835574488963232,0.10811742278239951,0.10743209610597027,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,7.49,211.94
14970,har,10299,561,6,0,lgbm,isotonic,1.0,0.9179319791286914,0.3758407588693259,0.724757281553398,0.050303939961781445,0.056039711824864946,0.05420663450215766,0.05351676209626802,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,7.49,211.94
14970,har,10299,561,6,0,lgbm,dirichlet,1.0,0.6929829441538405,0.38705268359992795,0.7383495145631068,0.08233923782175648,0.08449271849423969,0.08563498255723576,0.0841556462910773,0.6313884938373246,0.34766794298984843,0.7611650485436893,0.055387567691556845,0.05849390837229504,0.05891980598143818,0.05760042734843002,7.49,211.94
14970,har,10299,561,6,0,lgbm,none,2.0,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,7.49,211.94
14970,har,10299,561,6,0,lgbm,temp,2.0,1.4467902183532715,0.699851930141449,0.48398058252427184,0.1532166306544276,0.1532166545107527,0.1532166388645334,0.1532166413432379,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,7.49,211.94
14970,har,10299,561,6,0,lgbm,logistic,2.0,1.6635849672596341,0.7559549557600573,0.4883495145631068,0.2517077396512504,0.25165623167815876,0.2524089982696288,0.25192432319967933,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,7.49,211.94
14970,har,10299,561,6,0,lgbm,isotonic,2.0,2.8225285748064906,0.7320972792063137,0.46941747572815534,0.19562550156004888,0.19613529763958087,0.19586234901756505,0.1958743827390649,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,7.49,211.94
14970,har,10299,561,6,0,lgbm,dirichlet,2.0,1.3798353095868734,0.6683406982073523,0.5097087378640777,0.15433440136034737,0.15433440136034737,0.15433440136034737,0.15433440136034737,1.473241463606795,0.7056502800952141,0.48398058252427184,0.16688163218761484,0.16688163218761487,0.1668816321876148,0.16688163218761484,7.49,211.94
14970,har,10299,561,6,0,xgboost,none,0.5,0.24231664836406708,0.13953284919261932,0.9072815533980583,0.017398548950848074,0.016167450761332074,0.017419997986080585,0.016995332566086912,0.24231664836406708,0.13953284919261932,0.9072815533980583,0.017398548950848074,0.016167450761332074,0.017419997986080585,0.016995332566086912,28.21,211.94
14970,har,10299,561,6,0,xgboost,temp,0.5,0.2420668751001358,0.13953585922718048,0.9072815533980583,0.016567639471257802,0.01681619593240683,0.016954922632685002,0.016779586012116543,0.24231664836406708,0.13953284919261932,0.9072815533980583,0.017398548950848074,0.016167450761332074,0.017419997986080585,0.016995332566086912,28.21,211.94
14970,har,10299,561,6,0,xgboost,logistic,0.5,0.29439556046529,0.14976732956611516,0.9058252427184466,0.03562874521706261,0.03306524265848754,0.035628745217062524,0.034774244364204225,0.24231664836406708,0.13953284919261932,0.9072815533980583,0.017398548950848074,0.016167450761332074,0.017419997986080585,0.016995332566086912,28.21,211.94
